remarks,cleaned_remarks
"Welcome to Laurel Bay in the heart of Bankers Hill. This beautifully upgraded condo comes with a custom kitchen with quartz counters, LVP flooring throughout, and views of the famous Balboa Park. The bedroom features a beautiful custom closet that was thoughtfully designed to utilize as much space as possible. The large bathroom features custom fixtures and ample storage. With access to the balcony from both the living room and bedroom, it would be the perfect place to watch the sun rise over the park every morning. Just one block from Balboa Park, a short walk to downtown, less than 10 minutes to San Diego International Airport and situated between Downtown, Little Italy, Mission Hills and Hillcrest, the neighborhood offers everything urban living has to offer.","Welcome to Laurel Bay in the heart of Bankers Hill. This beautifully upgraded condo comes with a custom kitchen with quartz counters, LVP flooring throughout, and views of the famous Balboa Park. The bedroom features a beautiful custom closet that was thoughtfully designed to utilize as much space as possible. The large bathroom features custom fixtures and ample storage. With access to the balcony from both the living room and bedroom, it would be the perfect place to watch the sun rise over the park every morning. Just one block from Balboa Park, a short walk to downtown, less than 10 minutes to San Diego International Airport and situated between Downtown, Little Italy, Mission Hills and Hillcrest, the neighborhood offers everything urban living has to offer."
"Experience the epitome of the Malibu Valley lifestyle, where luxury meets natural beauty, and every detail has been thoughtfully curated for those who demand nothing but the best. Sited on one of Malibu Valley\","Experience the epitome of the Malibu Valley lifestyle, where luxury meets natural beauty, and every detail has been thoughtfully curated for those who demand nothing but the best. Sited on one of Malibu Valley\"
"Wraparound views and brand-new, high-end designer finishes elevate this rare double-corner 2 bed/2 bath residence on the 7th floor of the prestigious 100 S Doheny Tower. Nearly 1,200 sq ft of fully renovated living space features an open floor plan anchored by a custom kitchen island and flanked by two sweeping balconies east and west offering panoramic vistas of Century City, Beverly Hills, the Hollywood Hills, Griffith Observatory, Downtown LA and beyond. The primary suite and second bedroom sit on opposite ends for maximum privacy. Just steps from Beverly Hills, this stylish urban retreat is walking distance to world-class shopping, dining and conveniences including the Four Seasons Hotel, Beverly Center, Robertson Blvd, Trader Joe\","Wraparound views and brand-new, high-end designer finishes elevate this rare double-corner 2 bed/2 bath residence on the 7th floor of the prestigious 100 S Doheny Tower. Nearly 1200 square feet of fully renovated living space features an open floor plan anchored by a custom kitchen island and flanked by two sweeping balconies east and west offering panoramic vistas of Century City, Beverly Hills, the Hollywood Hills, Griffith Observatory, Downtown LA and beyond. The primary suite and second bedroom sit on opposite ends for maximum privacy. Just steps from Beverly Hills, this stylish urban retreat is walking distance to world-class shopping, dining and conveniences including the Four Seasons Hotel, Beverly Center, Robertson Blvd, Trader Joe\"
"ExerciseRoom,FamilyRoom,GreatRoom,Kitchen,Laundry,LivingRoom,PrimaryBathroom,PrimaryBedroom,Office,Other,Pantry,Recreation,WineCellar","ExerciseRoom,FamilyRoom,GreatRoom,Kitchen,Laundry,LivingRoom,PrimaryBathroom,PrimaryBedroom,Office,Other,Pantry,Recreation,WineCellar"
"BeamedCeilings,Balcony,CeilingFans,EatInKitchen,SeeRemarks,TileCounters,AllBedroomsDown","BeamedCeilings,Balcony,CeilingFans,EatInKitchen,SeeRemarks,TileCounters,AllBedroomsDown"
", 1, 0, 1, 1, 1, 1, NULL, 46, 46, NULL, 1, NULL, 2, 2, NULL, 3.5825, 156052.00, 156052.00, ",", 1, 0, 1, 1, 1, 1, NULL, 46, 46, NULL, 1, NULL, 2, 2, NULL, 3.5825, 156052.00, 156052.00,"
"DripIrrigationBubblers,FrontYard,SprinklersInFront,Landscaped,SprinklersTimer,SprinklerSystem","DripIrrigationBubblers,FrontYard,SprinklersInFront,Landscaped,SprinklersTimer,SprinklerSystem"
"Nestled on nearly an acre, this charming 3-bedroom, 2-bathroom home offers a peaceful country feel paired with a long list of desirable amenities. Step inside and be greeted by open-beam vaulted ceilings, abundant windows that capture scenic outdoor views and flood the home with natural light, and a spacious formal living room that’s perfect for cozy nights in or hosting holiday gatherings. The kitchen is sure to impress any home chef with its beautiful wood cabinetry, granite tile  countertops, newer electric cooktop and microwave, and a quaint breakfast bar ideal for quick bites. With the dining area and family room seamlessly connected, entertaining becomes a breeze and the chef never misses out on the fun. When it’s time to unwind, the primary suite offers the tranquility you need featuring generous space, a nicely sized closet, and a primary bathroom. Additional highlights include ceiling fans throughout, a pellet stove for added warmth, two comfortable guest bedrooms, and an attached 1-car garage. Enjoy year-round outdoor living from the covered back deck overlooking the expansive backyard, perfect for viewing the changing seasons. With its spacious lot and thoughtfully designed features, this home has everything you need to live comfortably. Don’t miss the chance to make it yours!","Nestled on nearly an acre, this charming 3-bedroom, 2-bathroom home offers a peaceful country feel paired with a long list of desirable amenities. Step inside and be greeted by open-beam vaulted ceilings, abundant windows that capture scenic outdoor views and flood the home with natural light, and a spacious formal living room that's perfect for cozy nights in or hosting holiday gatherings. The kitchen is sure to impress any home chef with its beautiful wood cabinetry, granite tile countertops, newer electric cooktop and microwave, and a quaint breakfast bar ideal for quick bites. With the dining area and family room seamlessly connected, entertaining becomes a breeze and the chef never misses out on the fun. When it's time to unwind, the primary suite offers the tranquility you need featuring generous space, a nicely sized closet, and a primary bathroom. Additional highlights include ceiling fans throughout, a pellet stove for added warmth, two comfortable guest bedrooms, and an attached 1-car garage. Enjoy year-round outdoor living from the covered back deck overlooking the expansive backyard, perfect for viewing the changing seasons. With its spacious lot and thoughtfully designed features, this home has everything you need to live comfortably. Don't miss the chance to make it yours!"
"Gas,MaintenanceGrounds,HotWater,Insurance,Pool,PetRestrictions,PetsAllowed,SpaHotTub,Security,Storage,Trash,Water","Gas,MaintenanceGrounds,HotWater,Insurance,Pool,PetRestrictions,PetsAllowed,SpaHotTub,Security,Storage,Trash,Water"
"Experience the Coronado lifestyle with an ideal lock-and-leave residence offering comfort, privacy, and full amenities. This well-proportioned 2-bedroom, 2-bath condominium is perfectly suited for buyers seeking a refined second home, downsizers, or those looking for an easier entry point into Coronado ownership.  Thoughtfully designed with generous living space, this residence delivers the benefits of luxury coastal living without the excess of larger, higher-priced alternatives. Enjoy a full-service building, proximity to the beach, and effortless living in one of Southern California’s most desirable communities.  A compelling opportunity for buyers who value location, lifestyle, and long-term flexibility.","Experience the Coronado lifestyle with an ideal lock-and-leave residence offering comfort, privacy, and full amenities. This well-proportioned 2-bedroom, 2-bath condominium is perfectly suited for buyers seeking a refined second home, downsizers, or those looking for an easier entry point into Coronado ownership. Thoughtfully designed with generous living space, this residence delivers the benefits of luxury coastal living without the excess of larger, higher-priced alternatives. Enjoy a full-service building, proximity to the beach, and effortless living in one of Southern California's most desirable communities. A compelling opportunity for buyers who value location, lifestyle, and long-term flexibility."
"Newly built in the heart of Beverly Hills, 162 N Rexford Drive presents a stunning blend of timeless elegance and modern design. Set on a 7,391 square foot lot, this 5 bedroom, 4.5 bathroom residence offers approximately 4,262 square feet of thoughtfully designed living space. The home\","Newly built in the heart of Beverly Hills, 162 N Rexford Drive presents a stunning blend of timeless elegance and modern design. Set on a 7391 square foot lot, this 5 bedroom, 4.5 bathroom residence offers approximately 4262 square feet of thoughtfully designed living space. The home\"
"s appeal is a detached guesthouse with its own entrance, private deck, and stunning ocean vistasperfect for visitors or creative workspaces. The terraced garden below offers room for play, reflection, or personal cultivation, while mature trees surround the property, providing rare privacy without sacrificing natural light or panoramic scenery.A true Malibu escape that effortlessly blends refined architecture with California\","s appeal is a detached guesthouse with its own entrance, private deck, and stunning ocean vistasperfect for visitors or creative workspaces. The terraced garden below offers room for play, reflection, or personal cultivation, while mature trees surround the property, providing rare privacy without sacrificing natural light or panoramic scenery.A true Malibu escape that effortlessly blends refined architecture with California\"
"Welcome to 110 Nightingale in Aliso Viejo’s desirable SeaCliff community—an exceptionally clean, move-in-ready 2-bedroom + open loft condominium with a floor plan that feels unusually large for a two-bedroom home. The spacious open loft is the perfect flexible space for a TV room, home office, reading retreat, kids’ play area, or guest overflow—designed to fit your lifestyle.  Step inside and enjoy soaring vaulted ceilings and a light, bright atmosphere throughout. The crisp kitchen features white cabinetry and newer stainless steel appliances, plus a convenient eating area just off the kitchen—ideal for casual meals and everyday living. Both bedrooms offer upgraded mirrored wardrobe doors, while custom built-ins in every closet add smart storage and elevated function.  Additional highlights include an inside laundry room, a charming front patio for relaxing or entertaining, and a rare two-car attached garage for direct access and added convenience. If you’ve been waiting for a home that combines space, flexibility, and pristine condition in one of Aliso Viejo’s most sought-after communities—this is it.","Welcome to 110 Nightingale in Aliso Viejo's desirable SeaCliff community—an exceptionally clean, move-in-ready 2-bedroom + open loft condominium with a floor plan that feels unusually large for a two-bedroom home. The spacious open loft is the perfect flexible space for a TV room, home office, reading retreat, kids' play area, or guest overflow—designed to fit your lifestyle. Step inside and enjoy soaring vaulted ceilings and a light, bright atmosphere throughout. The crisp kitchen features white cabinetry and newer stainless steel appliances, plus a convenient eating area just off the kitchen—ideal for casual meals and everyday living. Both bedrooms offer upgraded mirrored wardrobe doors, while custom built-ins in every closet add smart storage and elevated function. Additional highlights include an inside laundry room, a charming front patio for relaxing or entertaining, and a rare two-car attached garage for direct access and added convenience. If you've been waiting for a home that combines space, flexibility, and pristine condition in one of Aliso Viejo's most sought-after communities—this is it."
"Rebuilt in 2019, this modern Millbrae home blends clean contemporary lines with calm, livable elegance, all set against sweeping Bay views that carry through the entire residence. Over 3,200 square feet of sun-filled space features wide-plank hardwood floors, soaring ceilings, crisp wall finishes, and expansive window walls that frame both greenery and the Bay beyond. The main level flows into a thoughtfully designed kitchen appointed with Thermador appliances, a spacious center island, and subtle geometric details that add a refined modern touch. Outdoor living is a defining highlight, with full-length view decks, a Zen-style patio, and a thoughtfully designed yard offering multiple places to relax, gather, or entertain. The primary suite provides a retreat-like experience with a soaking tub and dual showers, while five bedrooms plus a dedicated office offer flexibility for work, guests, or multi-generational living. Smart-home features, a three-car garage, and close proximity to top Millbrae schools and SFO further enhance comfort and convenience. A home where modern design, indooroutdoor living, and far-reaching Bay vistas come together with exceptional balance.","Rebuilt in 2019, this modern Millbrae home blends clean contemporary lines with calm, livable elegance, all set against sweeping Bay views that carry through the entire residence. Over 3200 square feet of sun-filled space features wide-plank hardwood floors, soaring ceilings, crisp wall finishes, and expansive window walls that frame both greenery and the Bay beyond. The main level flows into a thoughtfully designed kitchen appointed with Thermador appliances, a spacious center island, and subtle geometric details that add a refined modern touch. Outdoor living is a defining highlight, with full-length view decks, a Zen-style patio, and a thoughtfully designed yard offering multiple places to relax, gather, or entertain. The primary suite provides a retreat-like experience with a soaking tub and dual showers, while five bedrooms plus a dedicated office offer flexibility for work, guests, or multi-generational living. Smart-home features, a three-car garage, and close proximity to top Millbrae schools and SFO further enhance comfort and convenience. A home where modern design, indooroutdoor living, and far-reaching Bay vistas come together with exceptional balance."
"Escape to your own private sanctuary on seven stunning acres where Mill Creek flows through your backyard and nature puts on a daily show. This magnificent Southwestern­ style ranch house offers over 2,400 square feet of thoughtfully designed living space featuring soaring open beam ceilings and authentic Saltillo tile flooring imported from Mexico - some tiles even showcase amusing bobcat and coyote footprints from their Mexican adventures. \r\r\nThe heart of this home is the great room with its centrally located wood stove and expansive windows that blur the lines between indoor and outdoor living. The spacious kitchen delights with abundant storage, colorful tile countertops, custom lighting, and a generous walk-in pantry. A large laundry room with folding counter makes household tasks seem effortless. \r\r\nTwo comfortable bedrooms include a guest room with French door patio access and an impressive primary bedroom that feels like a personal retreat. The primary suite boasts dramatic open beams, oversized windows, dual vanity sinks, walk-in closet with built-in storage, a garden tub, and walk-in shower.\r\r\nThe converted garage creates versatile bonus space perfect for a third bedroom or hosting an event; complete with a half bath and separate entrance. Multiple patios accommodate intimate gatherings or larger celebrations.\r\r\nOutdoor enthusiasts will treasure the three-stall horse barn with tack room, power, water, and thoughtful fencing. Trail ride through your wildlife sanctuary spotting deer, coyotes, bobcats, quail, foxes, and eagles. Each fall, witness the spectacular return of King salmon spawning in your creek. \r\r\nOwned solar, detached two-car garage with carport, circular drive ensuring privacy, and low-maintenance landscaping complete this extraordinary property where every day feels like vacation.","Escape to your own private sanctuary on seven stunning acres where Mill Creek flows through your backyard and nature puts on a daily show. This magnificent Southwestern­ style ranch house offers over 2400 square feet of thoughtfully designed living space featuring soaring open beam ceilings and authentic Saltillo tile flooring imported from Mexico - some tiles even showcase amusing bobcat and coyote footprints from their Mexican adventures. \r\r\nThe heart of this home is the great room with its centrally located wood stove and expansive windows that blur the lines between indoor and outdoor living. The spacious kitchen delights with abundant storage, colorful tile countertops, custom lighting, and a generous walk-in pantry. A large laundry room with folding counter makes household tasks seem effortless. \r\r\nTwo comfortable bedrooms include a guest room with French door patio access and an impressive primary bedroom that feels like a personal retreat. The primary suite boasts dramatic open beams, oversized windows, dual vanity sinks, walk-in closet with built-in storage, a garden tub, and walk-in shower.\r\r\nThe converted garage creates versatile bonus space perfect for a third bedroom or hosting an event; complete with a half bath and separate entrance. Multiple patios accommodate intimate gatherings or larger celebrations.\r\r\nOutdoor enthusiasts will treasure the three-stall horse barn with tack room, power, water, and thoughtful fencing. Trail ride through your wildlife sanctuary spotting deer, coyotes, bobcats, quail, foxes, and eagles. Each fall, witness the spectacular return of King salmon spawning in your creek. \r\r\nOwned solar, detached two-car garage with carport, circular drive ensuring privacy, and low-maintenance landscaping complete this extraordinary property where every day feels like vacation."
", 0, 0, 1, 1, 0, 0, 0, 141, 141, NULL, 1, NULL, 1, 1, 484999, 0.2400, 10454.00, 10454.00, ",", 0, 0, 1, 1, 0, 0, 0, 141, 141, NULL, 1, NULL, 1, 1, 484999, 0.2400, 10454.00, 10454.00,"
", 1, NULL, 1, NULL, 1, 1, 1, 21, NULL, 0, 256, NULL, 5, 5, 599000, 2.2243, 96892.00, 96892.00, ",", 1, NULL, 1, NULL, 1, 1, 1, 21, NULL, 0, 256, NULL, 5, 5, 599000, 2.2243, 96892.00, 96892.00,"
"This wonderful single-story home is located in the Colony, Murrieta\","This wonderful single-story home is located in the Colony, Murrieta\"
"ZeroToOneUnitAcre,BackYard,CulDeSac,SlopedDown,FrontYard,Garden,Greenbelt,IrregularLot,Landscaped","ZeroToOneUnitAcre,BackYard,CulDeSac,SlopedDown,FrontYard,Garden,Greenbelt,IrregularLot,Landscaped"
"Beautifully Updated 3-Bed, 2.5-Bath Condo Filled With Natural Light\r\r\nStep into this stylish and freshly updated condo featuring new quartz countertops, new carpet, and fresh interior paint throughout. The open main-floor layout creates an inviting space perfect for everyday living and entertaining, while large windows flood the home with abundant natural light, adding warmth and comfort to every room.\r\r\nA convenient half bath is located on the ground level, ideal for guests and everyday use.\r\r\nUpstairs, you\","Beautifully Updated 3-Bed, 2.5-Bath Condo Filled With Natural Light\r\r\nStep into this stylish and freshly updated condo featuring new quartz countertops, new carpet, and fresh interior paint throughout. The open main-floor layout creates an inviting space perfect for everyday living and entertaining, while large windows flood the home with abundant natural light, adding warmth and comfort to every room.\r\r\nA convenient half bath is located on the ground level, ideal for guests and everyday use.\r\r\nUpstairs, you\"
", 1, 0, 1, 1, 1, 1, 0, 64, NULL, 1, NULL, 0, 3, 1, 629900, NULL, NULL, NULL, ",", 1, 0, 1, 1, 1, 1, 0, 64, NULL, 1, NULL, 0, 3, 1, 629900, NULL, NULL, NULL,"
", 0, 0, 1, 1, 1, 0, NULL, 22, 32, NULL, 1, NULL, 1, 1, 919999, 0.1194, 5202.00, 5202.00, ",", 0, 0, 1, 1, 1, 0, NULL, 22, 32, NULL, 1, NULL, 1, 1, 919999, 0.1194, 5202.00, 5202.00,"
"Barbecue,ConvectionOven,Dishwasher,GasCooktop,GasWaterHeater,Microwave,Refrigerator,WaterSoftener,WaterPurifier,Dryer,Washer","Barbecue,ConvectionOven,Dishwasher,GasCooktop,GasWaterHeater,Microwave,Refrigerator,WaterSoftener,WaterPurifier,Dryer,Washer"
"Adorable renovated home in 55+ Bautista Estates in East Hemet! 2 bedrooms and 2 bathrooms. Tons of brand new stuff here including the roof, paint inside and out, laminate flooring throughout the entire home, quartz counter tops in the kitchen, bathrooms and desk area, sinks and faucets, and window shades. Light and bright open floor plan. Quiet and peaceful cul-de-sac location. RV parking and large lot. Seller financing available for qualified buyers! There are no park fees here, you own the land and HOA is only $50 a year! This home is cute as a button and move-in ready!","Adorable renovated home in 55+ Bautista Estates in East Hemet! 2 bedrooms and 2 bathrooms. Tons of brand new stuff here including the roof, paint inside and out, laminate flooring throughout the entire home, quartz counter tops in the kitchen, bathrooms and desk area, sinks and faucets, and window shades. Light and bright open floor plan. Quiet and peaceful cul-de-sac location. RV parking and large lot. Seller financing available for qualified buyers! There are no park fees here, you own the land and HOA is only $50 a year! This home is cute as a button and move-in ready!"
"Rare offering within LINEA, a private gated community of only 14 homes in south Palm Springs. 3088 Linea Terrace features minimalist architecture with an artist\","Rare offering within LINEA, a private gated community of only 14 homes in south Palm Springs. 3088 Linea Terrace features minimalist architecture with an artist\"
"Want to get away to Forest Falls, CA. Nearby activities include Oak Tree Mountain and apple orchards. This home sits on 16,400 sq. ft. of land and has approx. 1,131 sq. ft. An affordable investment opportunity if you blink it will be SOLD. Buyers check City, County, Zoning, Tax, and other records to their satisfaction. AS-IS SALE property.","Want to get away to Forest Falls, CA. Nearby activities include Oak Tree Mountain and apple orchards. This home sits on 16400 square feet of land and has approx. 1131 square feet An affordable investment opportunity if you blink it will be SOLD. Buyers check City, County, Zoning, Tax, and other records to their satisfaction. AS-IS SALE property."
", 0, 0, 0, 1, NULL, 0, 0, 1, 1, 0, 0, 0, 1, 50, NULL, 1, NULL, 1, 1, NULL, 0.1182, 5150.00, 5150.00, ",", 0, 0, 0, 1, NULL, 0, 0, 1, 1, 0, 0, 0, 1, 50, NULL, 1, NULL, 1, 1, NULL, 0.1182, 5150.00, 5150.00,"
", 0, 0, 1, 1, 1, 0, NULL, 1, 96, NULL, 1, NULL, 2, 1, NULL, 0.1379, 6009.00, 6009.00, ",", 0, 0, 1, 1, 1, 0, NULL, 1, 96, NULL, 1, NULL, 2, 1, NULL, 0.1379, 6009.00, 6009.00,"
"This is one of the finest 3 BR 3 BA homes located in coveted Panorama Park you will ever find.   No attention to detail has been missed in this exceptional 2100 sq foot home which boasts new windows and sliders, fully remodeled kitchen and baths, recent interior and exterior paint as well as new flooring and baseboards.  These are just a few items sure to delight the discriminating buyer.  The home is on  a larger lot with pool, spa, and amazing western mountain sunset views. The kitchen has been fully equipped with new appliances and a large breakfast bar for all to enjoy.  From the kitchen and dining area you can slip out to the covered patio with plenty of room for additional dining and entertaining areas.  The extra deep yard provides additional space for family fun and privacy. The generous, light filled primary bedroom has a generous walk-in closet and opens to the pool. The ensuite bath has a dual vanity and large walk-in shower. One of the two guest rooms also has its own ensuite remodeled bath and walk-in closet.  Finally there is one more additional guest room which is steps from the remodeled third full bath. The home boasts an indoor laundry area and a large 2 car garage.  The furnace is newer as is the irrigation and desertscape in the front yard. This house is ready to move into and enjoy!!  Please note: the home is available to show in Feb and Mar but on a limited schedule due to owners in residence.","This is one of the finest 3 bedroom 3 bathroom homes located in coveted Panorama Park you will ever find. No attention to detail has been missed in this exceptional 2100 sq foot home which boasts new windows and sliders, fully remodeled kitchen and baths, recent interior and exterior paint as well as new flooring and baseboards. These are just a few items sure to delight the discriminating buyer. The home is on a larger lot with pool, spa, and amazing western mountain sunset views. The kitchen has been fully equipped with new appliances and a large breakfast bar for all to enjoy. From the kitchen and dining area you can slip out to the covered patio with plenty of room for additional dining and entertaining areas. The extra deep yard provides additional space for family fun and privacy. The generous, light filled primary bedroom has a generous walk-in closet and opens to the pool. The ensuite bath has a dual vanity and large walk-in shower. One of the two guest rooms also has its own ensuite remodeled bath and walk-in closet. Finally there is one more additional guest room which is steps from the remodeled third full bath. The home boasts an indoor laundry area and a large 2 car garage. The furnace is newer as is the irrigation and desertscape in the front yard. This house is ready to move into and enjoy!! Please note: the home is available to show in Feb and Mar but on a limited schedule due to owners in residence."
", 0, 0, 1, 1, 1, 0, 1, 13, 13, NULL, 1, 2, 1, 1, NULL, 0.1579, 6879.00, 6879.00, ",", 0, 0, 1, 1, 1, 0, 1, 13, 13, NULL, 1, 2, 1, 1, NULL, 0.1579, 6879.00, 6879.00,"
"Furnished,Pantry,QuartzCounters,SeeRemarks,BedroomOnMainLevel,MainLevelPrimary,WalkInClosets,Workshop","Furnished,Pantry,QuartzCounters,SeeRemarks,BedroomOnMainLevel,MainLevelPrimary,WalkInClosets,Workshop"
"This Mission Lakes CC home offers two bedrooms two baths and open concept to living and eating.  Nothing was over looked with this home when remolded.  This home has has thousands of dollars in   up grading. Turnkey at its best!  The back yard is an Oasis including a walk in lounge pool and spa.  It has beautiful landscape and views.  The living area room has open sliders to the back yard and pool area giving the awesome inside and out side living experience.   Mission Lakes is a great community with a 18 hole Ted Robinson Championship Golf Course.  Low HOAs of only 506 a month and that give two on title full golfing privilege.  Other amenities include heated pools, spas, tennis courts, fitness center, pro shop, restaurants and much more.","This Mission Lakes CC home offers two bedrooms two baths and open concept to living and eating. Nothing was over looked with this home when remolded. This home has has thousands of dollars in up grading. Turnkey at its best! The back yard is an Oasis including a walk in lounge pool and spa. It has beautiful landscape and views. The living area room has open sliders to the back yard and pool area giving the awesome inside and out side living experience. Mission Lakes is a great community with a 18 hole Ted Robinson Championship Golf Course. Low HOAs of only 506 a month and that give two on title full golfing privilege. Other amenities include heated pools, spas, tennis courts, fitness center, pro shop, restaurants and much more."
"BonusRoom,Den,EntryFoyer,FamilyRoom,LivingRoom,PrimaryBathroom,PrimaryBedroom,Other,DiningRoom","BonusRoom,Den,EntryFoyer,FamilyRoom,LivingRoom,PrimaryBathroom,PrimaryBedroom,Other,DiningRoom"
"CovenantsRestrictionsDisclosure,FamilialRelation,PetRestrictions","CovenantsRestrictionsDisclosure,FamilialRelation,PetRestrictions"
"Dishwasher,ElectricOven,ElectricRange,Disposal,GasWaterHeater,Refrigerator,RangeHood,VentedExhaustFan","Dishwasher,ElectricOven,ElectricRange,Disposal,GasWaterHeater,Refrigerator,RangeHood,VentedExhaustFan"
"Agricultural,BackYard,HorseProperty,IrregularLot,Landscaped,SprinklerSystem,Yard","Agricultural,BackYard,HorseProperty,IrregularLot,Landscaped,SprinklerSystem,Yard"
", 1, 0, 1, 1, 1, 0, 0, 6, NULL, 0, NULL, 2, 1, NULL, NULL, 0.2500, 10890.00, 10890.00, ",", 1, 0, 1, 1, 1, 0, 0, 6, NULL, 0, NULL, 2, 1, NULL, NULL, 0.2500, 10890.00, 10890.00,"
"BackYard,CloseToClubhouse,SprinklersInRear,SprinklersInFront,Lawn,Landscaped,NearPublicTransit,Yard","BackYard,CloseToClubhouse,SprinklersInRear,SprinklersInFront,Lawn,Landscaped,NearPublicTransit,Yard"
"SecuritySystem,ClosedCircuitCameras,CarbonMonoxideDetectors,FireDetectionSystem,FireRatedDrywall,FireSprinklerSystem,SecurityGate,SmokeDetectors,SecurityLights","SecuritySystem,ClosedCircuitCameras,CarbonMonoxideDetectors,FireDetectionSystem,FireRatedDrywall,FireSprinklerSystem,SecurityGate,SmokeDetectors,SecurityLights"
